
# Table 2 of CTA-861-G: Video Format Timings - Detailed Sync Information

60,65;		2;	1760;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];	1,2, 25
64,77;		2;	528;	44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];
84;			2;	60;		40;		220;	P;	5;	5;	95;		P;	1;	SMPTE 296M [61];	26
91;			2;	218;	44;		148;	P;	4;	5;	161;	P;	1;	SMPTE 274M [2];		27
117,119;	2;	1056;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];
127;		2;	1096;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		31
200,208;	2;	2112;	176;	592;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];
216;		2;	2192;	176;	592;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];		32
218;		2;	800;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];

46;			4;	88;		44;		148;	P;	2;	5;	15;		P;	1;	SMPTE 274M [2];
47,71;		2;	110;	40;		220;	P;	5;	5;	20;		P;	1;	SMPTE 296M [61];
48,49;		1;	16;		62;		60;		N;	9;	6;	30;		N;	7;	CTA-770.2 [30];
50,51;		3;	38;		124;	114;	N;	4;	3;	15;		N;	4;	CTA-770.2 [30];		16
63,78;		2;	88;		44;		148;	P;	4;	5;	36;		P;	1;	SMPTE 274M [2];
85;			2;	60;		40;		220;	P;	5;	5;	95;		P;	1;	SMPTE 296M [61];	26
92;			2;	548;	44;		148;	P;	4;	5;	161;	P;	1;	SMPTE 274M [2];		27
118,120;	2;	176;	88;		296;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];
193;		2;	164;	88;		128;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];		31
201,209;	2;	352;	176;	592;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];
217;		2;	288;	176;	296;	P;	16;	20;	144;	P;	1;	SMPTE 274M [2];		32
219;		2;	88;		88;		128;	P;	8;	10;	72;		P;	1;	SMPTE 274M [2];

52,53;		1;	12;		64;		68;		N;	5;	5;	39;		N;	1;	ITU-R BT.1358 [77];
54,55;		3;	24;		126;	138;	N;	2;	3;	19;		N;	1;	ITU-R BT.656[75];	16

56,57;		1;	16;		62;		60;		N;	9;	6;	30;		N;	7;	CTA-770.2 [30];
58,59;		3;	38;		124;	114;	N;	4;	3;	15;		N;	4;	CTA-770.2 [30];		16

