
# Table 3 of CTA-861-G: Video Formats - Video ID Code and Aspect Ratios

1;		640x480p;		59.94Hz/60Hz;		4:3;	1:1;
79;		1680x720p;		23.98Hz/24Hz;		64:27;	64:63;	
80;		1680x720p;		25Hz;				64:27;	64:63;	
81;		1680x720p;		29.97Hz/30Hz;		64:27;	64:63;	
82;		1680x720p;		50Hz;				64:27;	64:63;	
83;		1680x720p;		59.94Hz/60Hz;		64:27;	64:63;
84;		1680x720p;		100Hz;				64:27;	64:63;	
85;		1680x720p;		119.88/120Hz;		64:27;	64:63;	
86;		2560x1080p;		23.98Hz/24Hz;		64:27;	1:1;	
87;		2560x1080p;		25Hz;				64:27;	1:1;	
88;		2560x1080p;		29.97Hz/30Hz;		64:27;	1:1;	
89;		2560x1080p;		50Hz;				64:27;	1:1;	
90;		2560x1080p;		59.94Hz/60Hz;		64:27;	1:1;	
91;		2560x1080p;		100Hz;				64:27;	1:1;	
92;		2560x1080p;		119.88/120Hz;		64:27;	1:1;	
93;		3840x2160p;		23.98Hz/24Hz;		16:9;	1:1;	
94;		3840x2160p;		25Hz;				16:9;	1:1;	
95;		3840x2160p;		29.97Hz/30Hz;		16:9;	1:1;	
96;		3840x2160p;		50Hz;				16:9;	1:1;	
97;		3840x2160p;		59.94Hz/60Hz;		16:9;	1:1;	
98;		4096x2160p;		23.98Hz/24Hz;		256:135;	1:1;	
99;		4096x2160p;		25Hz;				256:135;	1:1;	
100;	4096x2160p;		29.97Hz/30Hz;		256:135;	1:1;	
101;	4096x2160p;		50Hz;				256:135;	1:1;	
102;	4096x2160p;		59.94Hz/60Hz;		256:135;	1:1;	
103;	3840x2160p;		23.98Hz/24Hz;		64:27;	4:3;	
104;	3840x2160p;		25Hz;				64:27;	4:3;	
105;	3840x2160p;		29.97Hz/30Hz;		64:27;	4:3;	
106;	3840x2160p;		50Hz;				64:27;	4:3;	
107;	3840x2160p;		59.94Hz/60Hz;		64:27;	4:3;	
108;	1280x720p;		47.95Hz/48Hz;		16:9;	1:1;	
109;	1280x720p;		47.95Hz/48Hz;		64:27;	4:3;	
110;	1680x720p;		47.95Hz/48Hz;		64:27;	64:63;
111;	1920x1080p;		47.95Hz/48Hz;		16:9;	1:1;	
112;	1920x1080p;		47.95Hz/48Hz;		64:27;	4:3;	
113;	2560x1080p;		47.95Hz/48Hz;		64:27;	1:1;	
114;	3840x2160p;		47.95Hz/48Hz;		16:9;	1:1;	
115;	4096x2160p;		47.95Hz/48Hz;		256:135;	1:1;	
116;	3840x2160p;		47.95Hz/48Hz;		64:27;	4:3;	
117;	3840x2160p;		100Hz;				16:9;	1:1;	
118;	3840x2160p;		119.88/120Hz;		16:9;	1:1;	
119;	3840x2160p;		100Hz;				64:27;	4:3;	
120;	3840x2160p;		119.88/120Hz;		64:27;	4:3;
121;	5120x2160p;		23.98Hz/24Hz;		64:27;	1:1;	
122;	5120x2160p;		25Hz;				64:27;	1:1;	
123;	5120x2160p;		29.97Hz/30Hz;		64:27;	1:1;	
124;	5120x2160p;		47.95Hz/48Hz;		64:27;	1:1;	
125;	5120x2160p;		50Hz;				64:27;	1:1;	
126;	5120x2160p;		59.94Hz/60Hz;		64:27;	1:1;	
127;	5120x2160p;		100Hz;				64:27;	1:1;	
193;	5120x2160p;		119.88/120Hz;	64:27;	1:1;	
194;	7680x4320p;		23.98Hz/24Hz;	16:9;	1:1;	
195;	7680x4320p;		25Hz;	16:9;	1:1;	
196;	7680x4320p;		29.97Hz/30Hz;	16:9;	1:1;	
197;	7680x4320p;		47.95Hz/48Hz;	16:9;	1:1;	
198;	7680x4320p;		50Hz;	16:9;	1:1;	
199;	7680x4320p;		59.94Hz/60Hz;	16:9;	1:1;	
200;	7680x4320p;		100Hz;	16:9;	1:1;	
201;	7680x4320p;		119.88/120Hz;	16:9;	1:1;	
202;	7680x4320p;		23.98Hz/24Hz;	64:27;	4:3;	
203;	7680x4320p;		25Hz;	64:27;	4:3;	
204;	7680x4320p;		29.97Hz/30Hz;	64:27;	4:3;	
205;	7680x4320p;		47.95Hz/48Hz;	64:27;	4:3;	
206;	7680x4320p;		50Hz;	64:27;	4:3;	
207;	7680x4320p;		59.94Hz/60Hz;	64:27;	4:3;	
208;	7680x4320p;		100Hz;	64:27;	4:3;	
209;	7680x4320p;		119.88/120Hz;	64:27;	4:3;	
210;	10240x4320p;	23.98Hz/24Hz;	64:27;	1:1;	
211;	10240x4320p;	25Hz;	64:27;	1:1;	
212;	10240x4320p;	29.97Hz/30Hz;	64:27;	1:1;	
213;	10240x4320p;	47.95Hz/48Hz;	64:27;	1:1;	
214;	10240x4320p;	50Hz;	64:27;	1:1;	
215;	10240x4320p;	59.94Hz/60Hz;	64:27;	1:1;	
216;	10240x4320p;	100Hz;	64:27;	1:1;	
217;	10240x4320p;	119.88/120Hz;	64:27;	1:1;	
218;	4096x2160p;		100Hz;	256:135;	1:1;	
219;	4096x2160p;		119.88/120Hz;	256:135;	1:1;	

